"Tracking Code","Type","Category","Geo","Channel","Tier","Season (v8) (evar8)","Order Type (v43) (evar43)","Revenue"
"","","","","","","","",12703844.05
"","","","","","","","at once",75190116.56
"","","","","","","","futures",572251.82
"","","","","","","","futures_contract",0.00
"","","","","","","","select",0.00
"","","","","","","","shared_futures",514.58
"","","","","","","fa2014","",0.00
"","","","","","","fa2015","",0.00
"","","","","","","fa2015","at once",0.00
"","","","","","","fa2015,su2015","",0.00
"","","","","","","fa2015,su2017,fa2017","at once",1868.74
"","","","","","","fa2016","",0.00
"","","","","","","fa2016","at once",651505.07
"","","","","","","fa2016","futures",0.00
"","","","","","","fa2016","shared_futures",0.00
"","","","","","","fa2016,fa2017","",0.00
"","","","","","","fa2016,fa2017","at once",26042.98
"","","","","","","fa2016,fa2017,ho2016","at once",7382.77
"","","","","","","fa2016,fa2017,ho2017,su2017","at once",124.98
"","","","","","","fa2016,fa2017,sp2017,su2017,ho2016","",0.00
"","","","","","","fa2016,fa2017,sp2017,su2017,ho2016","at once",16126.72
"","","","","","","fa2016,fa2017,su2017","",0.00
"","","","","","","fa2016,fa2017,su2017","at once",9001.84
"","","","","","","fa2016,fa2017,su2017,ho2016,sp2017","at once",2103.96
"","","","","","","fa2016,fa2017,su2017,sp2017,ho2016","at once",4118.56
"","","","","","","fa2016,ho2016","",0.00
"","","","","","","fa2016,ho2016","at once",13321.97
"","","","","","","fa2016,ho2016,fa2017","",0.00
"","","","","","","fa2016,ho2016,fa2017","at once",758.31
"","","","","","","fa2016,ho2016,fa2017,su2017","",0.00
"","","","","","","fa2016,ho2016,fa2017,su2017","at once",898.58
"","","","","","","fa2016,ho2016,fa2017,su2017,sp2017","",0.00
"","","","","","","fa2016,ho2016,fa2017,su2017,sp2017","at once",1864.31
"","","","","","","fa2016,ho2016,sp2017","at once",1835.58
"","","","","","","fa2016,ho2016,sp2017,su2017,fa2017","at once",7214.98
"","","","","","","fa2016,ho2016,su2016,sp2017,su2017,fa2017","at once",108.09
"","","","","","","fa2016,ho2016,su2017,sp2017","",0.00
"","","","","","","fa2016,ho2016,su2017,sp2017","at once",2563.59
"","","","","","","fa2016,ho2016,su2017,sp2017,fa2017","at once",1225.28
"","","","","","","fa2016,sp2017","at once",9794.59
"","","","","","","fa2016,sp2017,fa2017","",0.00
"","","","","","","fa2016,sp2017,fa2017","at once",511.71
"","","","","","","fa2016,sp2017,fa2017,ho2016","",0.00
"","","","","","","fa2016,sp2017,fa2017,ho2016","at once",472.16
"","","","","","","fa2016,sp2017,ho2016","",0.00
"","","","","","","fa2016,sp2017,ho2016,su2017","",0.00
"","","","","","","fa2016,sp2017,ho2016,su2017","at once",9529.88
"","","","","","","fa2016,sp2017,ho2016,su2017,fa2017","at once",3279.83
"","","","","","","fa2016,sp2017,sp2016","at once",548.69
"","","","","","","fa2016,sp2017,su2017","",0.00
"","","","","","","fa2016,sp2017,su2017","at once",5942.36
"","","","","","","fa2016,sp2017,su2017,fa2017","at once",4872.78
"","","","","","","fa2016,su2016,fa2017,su2017","at once",4618.57
"","","","","","","fa2016,su2016,su2017,fa2017","at once",3710.79
"","","","","","","fa2016,su2017","",0.00
"","","","","","","fa2016,su2017","at once",26414.91
"","","","","","","fa2016,su2017,fa2017","at once",1077.94
"","","","","","","fa2016,su2017,ho2016","at once",3173.45
"","","","","","","fa2016,su2017,ho2016,fa2017","",0.00
"","","","","","","fa2016,su2017,sp2017","",0.00
"","","","","","","fa2016,su2017,sp2017","at once",8111.02
"","","","","","","fa2016,su2017,sp2017,fa2017","at once",9785.09
"","","","","","","fa2016,su2017,sp2017,ho2016","at once",952.59
"","","","","","","fa2016,su2017,sp2017,su2016","at once",20303.56
"","","","","","","fa2016,su2017,su2016,sp2016,ho2016,sp2017","at once",1457.31
"","","","","","","fa2016,su2017,su2016,sp2017,ho2016","at once",1214.72
"","","","","","","fa2017","",7467.28
"","","","","","","fa2017","at once",95783982.66
"","","","","","","fa2017","futures",3670665.47
"","","","","","","fa2017","futures_contract",68249.20
"","","","","","","fa2017","shared_futures",520992.94
"","","","","","","fa2017,fa2016","",0.00
"","","","","","","fa2017,fa2016","at once",4513.56
"","","","","","","fa2017,fa2016,ho2016","at once",3140.72
"","","","","","","fa2017,fa2016,ho2016,sp2017","",0.00
"","","","","","","fa2017,fa2016,ho2016,sp2017","at once",2101.12
"","","","","","","fa2017,fa2016,sp2017,su2017","",0.00
"","","","","","","fa2017,fa2016,sp2017,su2017","at once",4118.20
"","","","","","","fa2017,fa2016,su2017","",0.00
"","","","","","","fa2017,fa2016,su2017","at once",18750.30
"","","","","","","fa2017,fa2016,su2017,sp2017","at once",2403.51
"","","","","","","fa2017,ho2016","",0.00
"","","","","","","fa2017,ho2016","at once",189354.05
"","","","","","","fa2017,ho2016,fa2016","at once",2098.51
"","","","","","","fa2017,ho2016,fa2016,su2017","at once",746.90
"","","","","","","fa2017,ho2016,fa2016,su2017,sp2017","",0.00
"","","","","","","fa2017,ho2016,fa2016,su2017,sp2017","at once",5478.45
"","","","","","","fa2017,ho2016,ho2017","",0.00
"","","","","","","fa2017,ho2016,ho2017","at once",14997.50
"","","","","","","fa2017,ho2016,sp2017","",0.00
"","","","","","","fa2017,ho2016,sp2017","at once",5150.49
"","","","","","","fa2017,ho2016,sp2017,su2017","",0.00
"","","","","","","fa2017,ho2016,sp2017,su2017","at once",59765.27
"","","","","","","fa2017,ho2016,su2017","",0.00
"","","","","","","fa2017,ho2016,su2017","at once",29098.01
"","","","","","","fa2017,ho2016,su2017,sp2017","",0.00
"","","","","","","fa2017,ho2016,su2017,sp2017","at once",17995.39
"","","","","","","fa2017,ho2016,su2017,sp2017,sp2016,su2016,fa2016","at once",3097.68
"","","","","","","fa2017,ho2017","",0.00
"","","","","","","fa2017,ho2017","at once",223651.24
"","","","","","","fa2017,ho2017,su2017","at once",5994.70
"","","","","","","fa2017,sp2017","",0.00
"","","","","","","fa2017,sp2017","at once",134545.89
"","","","","","","fa2017,sp2017,ho2015,su2017","at once",7305.96
"","","","","","","fa2017,sp2017,ho2016","",0.00
"","","","","","","fa2017,sp2017,ho2016","at once",6473.18
"","","","","","","fa2017,sp2017,ho2016,su2017","at once",920.86
"","","","","","","fa2017,sp2017,su2017","",0.00
"","","","","","","fa2017,sp2017,su2017","at once",386330.53
"","","","","","","fa2017,sp2017,su2017,fa2016","at once",5080.15
"","","","","","","fa2017,sp2017,su2017,ho2016","",0.00
"","","","","","","fa2017,sp2017,su2017,ho2016","at once",20579.90
"","","","","","","fa2017,sp2017,su2017,su2016","",0.00
"","","","","","","fa2017,su2016","",0.00
"","","","","","","fa2017,su2016","at once",2199.26
"","","","","","","fa2017,su2016,fa2016,ho2016,sp2017,su2017","at once",1832.26
"","","","","","","fa2017,su2016,ho2016","at once",133.76
"","","","","","","fa2017,su2017","",0.00
"","","","","","","fa2017,su2017","at once",7152347.47
"","","","","","","fa2017,su2017","futures",0.00
"","","","","","","fa2017,su2017,fa2016","",0.00
"","","","","","","fa2017,su2017,fa2016","at once",18040.23
"","","","","","","fa2017,su2017,fa2016,ho2016,sp2017","at once",13119.98
"","","","","","","fa2017,su2017,fa2016,sp2017","",0.00
"","","","","","","fa2017,su2017,fa2016,sp2017","at once",3842.36
"","","","","","","fa2017,su2017,fa2016,su2016,sp2017","",0.00
"","","","","","","fa2017,su2017,fa2016,su2016,sp2017","at once",570.29
"","","","","","","fa2017,su2017,ho2016","",0.00
"","","","","","","fa2017,su2017,ho2016","at once",46537.16
"","","","","","","fa2017,su2017,ho2016,fa2016","",0.00
"","","","","","","fa2017,su2017,ho2016,fa2016","at once",2349.92
"","","","","","","fa2017,su2017,ho2016,sp2017","at once",142058.36
"","","","","","","fa2017,su2017,ho2016,sp2017,fa2016","at once",3812.20
"","","","","","","fa2017,su2017,ho2016,su2016","at once",398.46
"","","","","","","fa2017,su2017,ho2017","",0.00
"","","","","","","fa2017,su2017,ho2017","at once",20318.21
"","","","","","","fa2017,su2017,sp2017","",0.00
"","","","","","","fa2017,su2017,sp2017","at once",528837.41
"","","","","","","fa2017,su2017,sp2017","futures",0.00
"","","","","","","fa2017,su2017,sp2017,fa2016","",0.00
"","","","","","","fa2017,su2017,sp2017,fa2016","at once",33429.92
"","","","","","","fa2017,su2017,sp2017,fa2016,ho2016","at once",2640.59
"","","","","","","fa2017,su2017,sp2017,ho2016","",0.00
"","","","","","","fa2017,su2017,sp2017,ho2016","at once",136896.34
"","","","","","","fa2017,su2017,sp2018","at once",325.81
"","","","","","","fa2017,su2017,su2016,sp2017","at once",195.96
"","","","","","","fall 2017","",0.00
"","","","","","","fall 2017","at once",0.00
"","","","","","","fall 2017","futures",0.00
"","","","","","","ho2013","",0.00
"","","","","","","ho2014","",0.00
"","","","","","","ho2015","",0.00
"","","","","","","ho2015","at once",3050.40
"","","","","","","ho2015,fa2016,sp2017","at once",861.95
"","","","","","","ho2015,ho2016","",0.00
"","","","","","","ho2015,ho2016,sp2017,su2017","at once",232.52
"","","","","","","ho2016","",0.00
"","","","","","","ho2016","at once",2148478.49
"","","","","","","ho2016","futures",0.00
"","","","","","","ho2016,fa2015,su2015","",0.00
"","","","","","","ho2016,fa2016","at once",3383.21
"","","","","","","ho2016,fa2016,fa2017,su2017","at once",5828.12
"","","","","","","ho2016,fa2016,sp2017","",0.00
"","","","","","","ho2016,fa2016,sp2017","at once",49674.48
"","","","","","","ho2016,fa2016,sp2017,su2017","at once",8061.30
"","","","","","","ho2016,fa2016,su2016,sp2017","at once",5713.87
"","","","","","","ho2016,fa2016,su2016,su2017,fa2017,sp2017","",0.00
"","","","","","","ho2016,fa2016,su2016,su2017,fa2017,sp2017","at once",139.82
"","","","","","","ho2016,fa2016,su2016,su2017,sp2017,fa2017","at once",167.24
"","","","","","","ho2016,fa2016,su2017","at once",4003.44
"","","","","","","ho2016,fa2017","",0.00
"","","","","","","ho2016,fa2017","at once",53240.63
"","","","","","","ho2016,fa2017,sp2017,su2017","at once",9554.55
"","","","","","","ho2016,fa2017,su2017","",0.00
"","","","","","","ho2016,fa2017,su2017","at once",18350.69
"","","","","","","ho2016,fa2017,su2017,sp2017","at once",1759.41
"","","","","","","ho2016,ho2015,sp2016","",0.00
"","","","","","","ho2016,sp2017","",0.00
"","","","","","","ho2016,sp2017","at once",45236.25
"","","","","","","ho2016,sp2017,fa2016","",0.00
"","","","","","","ho2016,sp2017,fa2016","at once",76095.13
"","","","","","","ho2016,sp2017,fa2017","",0.00
"","","","","","","ho2016,sp2017,fa2017","at once",4436.08
"","","","","","","ho2016,sp2017,fa2017,su2017","at once",17536.97
"","","","","","","ho2016,sp2017,su2017","",0.00
"","","","","","","ho2016,sp2017,su2017","at once",10506.53
"","","","","","","ho2016,sp2017,su2017,fa2017","at once",6523.79
"","","","","","","ho2016,sp2017,su2017,su2016,fa2016","at once",3177.88
"","","","","","","ho2016,su2016","at once",26111.89
"","","","","","","ho2016,su2016,su2017,sp2017","at once",731.73
"","","","","","","ho2016,su2017","",0.00
"","","","","","","ho2016,su2017","at once",40696.96
"","","","","","","ho2016,su2017,fa2016,sp2017","",0.00
"","","","","","","ho2016,su2017,fa2016,sp2017","at once",8654.90
"","","","","","","ho2016,su2017,fa2017","at once",75045.76
"","","","","","","ho2016,su2017,fa2017,fa2016","at once",1037.19
"","","","","","","ho2016,su2017,fa2017,sp2017","at once",9804.86
"","","","","","","ho2016,su2017,sp2017","",0.00
"","","","","","","ho2016,su2017,sp2017","at once",24783.38
"","","","","","","ho2016,su2017,sp2017,fa2017","",0.00
"","","","","","","ho2016,su2017,sp2017,fa2017","at once",4700.88
"","","","","","","ho2016,su2017,sp2017,fa2017,fa2016","at once",12129.34
"","","","","","","ho2016,su2017,sp2017,su2016,fa2016,fa2017","at once",3206.94
"","","","","","","ho2016,su2017,su2016","at once",4121.14
"","","","","","","ho2016,su2017,su2016,sp2017","at once",14183.52
"","","","","","","ho2017","",425626.52
"","","","","","","ho2017","at once",146916.01
"","","","","","","ho2017","futures",398805884.51
"","","","","","","ho2017","futures_contract",29142840.83
"","","","","","","ho2017","select",0.00
"","","","","","","ho2017","shared_futures",17107660.46
"","","","","","","ho2017,fa2016,su2017,ho2016,fa2017","at once",854.20
"","","","","","","ho2017,fa2017","",0.00
"","","","","","","ho2017,fa2017","at once",57783.87
"","","","","","","ho2017,fa2017,su2017","at once",24278.00
"","","","","","","ho2017,su2017","at once",2475.00
"","","","","","","ho2017,su2017,fa2017","at once",730.23
"","","","","","","ho2017,su2017,fa2017,ho2016","at once",582.50
"","","","","","","q317","",0.00
"","","","","","","sp2015","",0.00
"","","","","","","sp2015,su2015,sp2017,ho2016,su2016,sp2016,fa2016","",0.00
"","","","","","","sp2016","",0.00
"","","","","","","sp2016","at once",13211.22
"","","","","","","sp2016","futures",0.00
"","","","","","","sp2016,fa2017","at once",86.00
"","","","","","","sp2016,sp2017,fa2016,su2016,su2017,ho2016","at once",32797.38
"","","","","","","sp2016,sp2017,su2016,fa2016,ho2016","",0.00
"","","","","","","sp2016,su2016","",0.00
"","","","","","","sp2016,su2016","at once",8417.28
"","","","","","","sp2016,su2016,fa2016,ho2016,su2017","at once",348.54
"","","","","","","sp2016,su2017","",0.00
"","","","","","","sp2017","",0.00
"","","","","","","sp2017","at once",8102953.17
"","","","","","","sp2017","futures",0.00
"","","","","","","sp2017","futures_contract",0.00
"","","","","","","sp2017","shared_futures",0.00
"","","","","","","sp2017,fa2016","at once",6330.78
"","","","","","","sp2017,fa2016,fa2017,su2017","at once",6268.12
"","","","","","","sp2017,fa2016,ho2016,su2017","",0.00
"","","","","","","sp2017,fa2016,su2017","at once",166.68
"","","","","","","sp2017,fa2016,su2017,ho2016","at once",0.00
"","","","","","","sp2017,fa2017","",0.00
"","","","","","","sp2017,fa2017","at once",69562.74
"","","","","","","sp2017,fa2017","futures",0.00
"","","","","","","sp2017,fa2017,fa2016","at once",1709.07
"","","","","","","sp2017,fa2017,ho2016","at once",4883.90
"","","","","","","sp2017,fa2017,ho2016,su2017","at once",4034.99
"","","","","","","sp2017,fa2017,ho2017","at once",683.19
"","","","","","","sp2017,fa2017,su2017","at once",42786.00
"","","","","","","sp2017,fa2017,su2017,ho2016","at once",15675.08
"","","","","","","sp2017,fa2017,su2017,ho2016,fa2016,su2016","at once",4282.64
"","","","","","","sp2017,ho2016","",0.00
"","","","","","","sp2017,ho2016","at once",128943.45
"","","","","","","sp2017,ho2016,fa2017","",0.00
"","","","","","","sp2017,ho2016,fa2017","at once",25447.34
"","","","","","","sp2017,ho2016,fa2017,su2017","at once",0.00
"","","","","","","sp2017,ho2016,su2017","",0.00
"","","","","","","sp2017,ho2016,su2017","at once",20236.23
"","","","","","","sp2017,ho2016,su2017,fa2016","at once",15710.51
"","","","","","","sp2017,ho2016,su2017,fa2017","",0.00
"","","","","","","sp2017,ho2016,su2017,fa2017","at once",0.00
"","","","","","","sp2017,ho2016,su2017,fa2017,fa2016","at once",20489.15
"","","","","","","sp2017,ho2017","at once",573.35
"","","","","","","sp2017,su2016","at once",295.96
"","","","","","","sp2017,su2016,ho2016,su2017,fa2016","",0.00
"","","","","","","sp2017,su2016,su2017","",0.00
"","","","","","","sp2017,su2016,su2017","at once",1709.99
"","","","","","","sp2017,su2017","",0.00
"","","","","","","sp2017,su2017","at once",431051.55
"","","","","","","sp2017,su2017,fa2016","at once",682.94
"","","","","","","sp2017,su2017,fa2016,fa2017","at once",2551.19
"","","","","","","sp2017,su2017,fa2016,ho2016,fa2017,su2016","at once",680.56
"","","","","","","sp2017,su2017,fa2017","",0.00
"","","","","","","sp2017,su2017,fa2017","at once",121373.88
"","","","","","","sp2017,su2017,fa2017,fa2016","at once",4182.02
"","","","","","","sp2017,su2017,ho2016","",0.00
"","","","","","","sp2017,su2017,ho2016","at once",29312.36
"","","","","","","sp2017,su2017,ho2016,fa2017","at once",9762.84
"","","","","","","sp2017,su2017,ho2017","at once",976.14
"","","","","","","sp2017,su2017,su2016","",0.00
"","","","","","","sp2017,su2017,su2016","at once",6238.47
"","","","","","","sp2017,su2017,su2016,fa2017","at once",23074.95
"","","","","","","sp2018","",1969605.74
"","","","","","","sp2018","at once",1803.54
"","","","","","","sp2018","futures",10855646384.05
"","","","","","","sp2018","futures_contract",296680572.32
"","","","","","","sp2018","select",0.00
"","","","","","","sp2018","shared_futures",39077366.56
"","","","","","","su18-rep-learn","",0.00
"","","","","","","su2014","",0.00
"","","","","","","su2015","",0.00
"","","","","","","su2015","at once",0.00
"","","","","","","su2015,ho2016,su2017,sp2017,su2016","at once",0.00
"","","","","","","su2015,su2016,ho2016,su2017,sp2017,fa2017","at once",3857.32
"","","","","","","su2016","",0.00
"","","","","","","su2016","at once",233684.61
"","","","","","","su2016","futures",0.00
"","","","","","","su2016,fa2016","at once",1308.59
"","","","","","","su2016,fa2016,fa2017","at once",109.70
"","","","","","","su2016,fa2016,ho2016,sp2017,su2017","at once",14471.73
"","","","","","","su2016,fa2016,ho2016,su2017","at once",641.22
"","","","","","","su2016,fa2017","",0.00
"","","","","","","su2016,fa2017","at once",3753.41
"","","","","","","su2016,fa2017,sp2017","at once",479.82
"","","","","","","su2016,fa2017,sp2017,su2017,fa2016","at once",1806.68
"","","","","","","su2016,ho2015,sp2017,fa2017","",0.00
"","","","","","","su2016,ho2015,sp2017,su2017","",0.00
"","","","","","","su2016,ho2016","",0.00
"","","","","","","su2016,ho2016","at once",25904.02
"","","","","","","su2016,ho2016,fa2017","at once",14331.24
"","","","","","","su2016,ho2016,sp2017","at once",6591.83
"","","","","","","su2016,ho2016,sp2017,su2017,fa2016","",0.00
"","","","","","","su2016,ho2016,sp2017,su2017,fa2016","at once",12025.40
"","","","","","","su2016,ho2016,sp2017,su2017,fa2016,fa2017","",0.00
"","","","","","","su2016,ho2016,sp2017,su2017,fa2016,fa2017","at once",8171.07
"","","","","","","su2016,ho2016,su2017","at once",3462.72
"","","","","","","su2016,ho2016,su2017,sp2017,fa2016","",0.00
"","","","","","","su2016,ho2016,su2017,sp2017,fa2016","at once",80557.30
"","","","","","","su2016,ho2016,su2017,sp2017,fa2016","futures",0.00
"","","","","","","su2016,ho2016,su2017,sp2017,fa2016,fa2017","",0.00
"","","","","","","su2016,ho2016,su2017,sp2017,fa2016,fa2017","at once",10384.91
"","","","","","","su2016,sp2017,fa2016,su2017","at once",232.56
"","","","","","","su2016,sp2017,fa2016,su2017,ho2016","at once",2031.05
"","","","","","","su2016,sp2017,su2017","at once",250.00
"","","","","","","su2016,sp2017,su2017,fa2016","at once",2712.10
"","","","","","","su2016,sp2017,su2017,fa2016,fa2017","at once",2200.72
"","","","","","","su2016,su2017","at once",56245.18
"","","","","","","su2016,su2017,fa2016,ho2016,sp2017","at once",24441.05
"","","","","","","su2016,su2017,fa2017","",0.00
"","","","","","","su2016,su2017,fa2017","at once",318.44
"","","","","","","su2016,su2017,ho2016","at once",37.50
"","","","","","","su2016,su2017,ho2016,fa2017","at once",1255.79
"","","","","","","su2016,su2017,ho2016,sp2017","",0.00
"","","","","","","su2016,su2017,sp2017","at once",1133.12
"","","","","","","su2016,su2017,sp2017,fa2016,ho2016","at once",6567.69
"","","","","","","su2016,su2017,sp2017,ho2016","at once",1203.34
"","","","","","","su2016,su2017,sp2017,ho2016,fa2016","at once",364.37
"","","","","","","su2017","",0.00
"","","","","","","su2017","at once",138182528.62
"","","","","","","su2017","futures",1555946.00
"","","","","","","su2017","futures_contract",134.84
"","","","","","","su2017","shared_futures",357259.72
"","","","","","","su2017,fa2014,su2016,ho2016","at once",8820.45
"","","","","","","su2017,fa2015,sp2016","",0.00
"","","","","","","su2017,fa2015,sp2017","",0.00
"","","","","","","su2017,fa2015,sp2017","at once",9299.15
"","","","","","","su2017,fa2016","",0.00
"","","","","","","su2017,fa2016","at once",37174.03
"","","","","","","su2017,fa2016,fa2017","at once",847.24
"","","","","","","su2017,fa2016,fa2017,sp2017,ho2016","",0.00
"","","","","","","su2017,fa2016,ho2016","at once",12135.90
"","","","","","","su2017,fa2016,ho2016,fa2017","at once",1058.63
"","","","","","","su2017,fa2016,sp2017","",0.00
"","","","","","","su2017,fa2016,sp2017","at once",37091.22
"","","","","","","su2017,fa2016,sp2017,fa2017","",0.00
"","","","","","","su2017,fa2016,sp2017,fa2017","at once",1359.37
"","","","","","","su2017,fa2016,sp2017,ho2016","at once",14018.09
"","","","","","","su2017,fa2017","",0.00
"","","","","","","su2017,fa2017","at once",4364970.92
"","","","","","","su2017,fa2017","futures",0.00
"","","","","","","su2017,fa2017,fa2016","",0.00
"","","","","","","su2017,fa2017,fa2016","at once",12158.96
"","","","","","","su2017,fa2017,fa2016,sp2017","at once",142464.64
"","","","","","","su2017,fa2017,ho2016","",0.00
"","","","","","","su2017,fa2017,ho2016","at once",42320.79
"","","","","","","su2017,fa2017,ho2016,fa2016,sp2017","at once",4463.16
"","","","","","","su2017,fa2017,ho2016,sp2017","at once",21384.47
"","","","","","","su2017,fa2017,ho2016,sp2017,fa2016","at once",9336.90
"","","","","","","su2017,fa2017,ho2016,sp2017,ho2017","at once",655.93
"","","","","","","su2017,fa2017,ho2017","at once",13840.36
"","","","","","","su2017,fa2017,sp2017","",0.00
"","","","","","","su2017,fa2017,sp2017","at once",314642.53
"","","","","","","su2017,fa2017,sp2017,fa2016","at once",1696.99
"","","","","","","su2017,fa2017,sp2017,ho2016","",0.00
"","","","","","","su2017,fa2017,sp2017,ho2016","at once",12084.50
"","","","","","","su2017,fa2017,su2016","",0.00
"","","","","","","su2017,fa2017,su2016","at once",3766.18
"","","","","","","su2017,ho2016","",0.00
"","","","","","","su2017,ho2016","at once",112152.64
"","","","","","","su2017,ho2016,fa2016","at once",9711.79
"","","","","","","su2017,ho2016,fa2016,fa2017","at once",2505.00
"","","","","","","su2017,ho2016,fa2016,sp2017","at once",3452.88
"","","","","","","su2017,ho2016,fa2016,sp2017,fa2017","",0.00
"","","","","","","su2017,ho2016,fa2016,sp2017,fa2017","at once",7039.64
"","","","","","","su2017,ho2016,fa2017","",0.00
"","","","","","","su2017,ho2016,fa2017","at once",30230.37
"","","","","","","su2017,ho2016,fa2017,fa2016,sp2017","",0.00
"","","","","","","su2017,ho2016,fa2017,fa2016,sp2017","at once",7205.56
"","","","","","","su2017,ho2016,fa2017,sp2017","at once",44420.23
"","","","","","","su2017,ho2016,sp2017","",0.00
"","","","","","","su2017,ho2016,sp2017","at once",204815.51
"","","","","","","su2017,ho2016,sp2017,fa2016","at once",8152.46
"","","","","","","su2017,ho2016,sp2017,fa2017","at once",15068.07
"","","","","","","su2017,ho2016,sp2017,fa2017,fa2016","at once",779.86
"","","","","","","su2017,ho2016,sp2017,ho2017","at once",362.50
"","","","","","","su2017,ho2016,sp2017,su2016,ho2017,fa2017","at once",1587.50
"","","","","","","su2017,ho2016,su2016","at once",2079.01
"","","","","","","su2017,ho2016,su2016,fa2016,sp2017","at once",1903.61
"","","","","","","su2017,ho2016,su2016,sp2017","",0.00
"","","","","","","su2017,ho2017","",0.00
"","","","","","","su2017,ho2017","at once",22420.50
"","","","","","","su2017,ho2017,fa2017","",0.00
"","","","","","","su2017,ho2017,fa2017","at once",792.00
"","","","","","","su2017,sp2016","",0.00
"","","","","","","su2017,sp2017","",0.00
"","","","","","","su2017,sp2017","at once",2008744.78
"","","","","","","su2017,sp2017","futures",0.00
"","","","","","","su2017,sp2017,fa2016","",0.00
"","","","","","","su2017,sp2017,fa2016","at once",51198.30
"","","","","","","su2017,sp2017,fa2016,fa2017","at once",1828.45
"","","","","","","su2017,sp2017,fa2016,sp2016,ho2016","at once",3536.23
"","","","","","","su2017,sp2017,fa2017","",0.00
"","","","","","","su2017,sp2017,fa2017","at once",267424.77
"","","","","","","su2017,sp2017,fa2017,fa2016","",0.00
"","","","","","","su2017,sp2017,fa2017,fa2016","at once",2334.87
"","","","","","","su2017,sp2017,fa2017,ho2016","at once",14933.84
"","","","","","","su2017,sp2017,fa2017,ho2016,fa2016","at once",14075.31
"","","","","","","su2017,sp2017,ho2016","",0.00
"","","","","","","su2017,sp2017,ho2016","at once",118764.67
"","","","","","","su2017,sp2017,ho2016,fa2016","at once",17655.44
"","","","","","","su2017,sp2017,ho2016,fa2016,ho2017","at once",4715.32
"","","","","","","su2017,sp2017,ho2016,fa2017","at once",4948.98
"","","","","","","su2017,sp2017,sp2016","",0.00
"","","","","","","su2017,sp2017,sp2016","at once",31031.73
"","","","","","","su2017,sp2017,su2016","",0.00
"","","","","","","su2017,sp2017,su2016","at once",1011.87
"","","","","","","su2017,sp2017,su2016,ho2016","",0.00
"","","","","","","su2017,sp2017,su2016,ho2016","at once",3079.26
"","","","","","","su2017,su2016","",0.00
"","","","","","","su2017,su2016","at once",21137.40
"","","","","","","su2017,su2016,fa2016,fa2017","at once",1383.53
"","","","","","","su2017,su2016,fa2016,sp2017","at once",3507.70
"","","","","","","su2017,su2016,fa2017","",0.00
"","","","","","","su2017,su2016,fa2017","at once",14785.47
"","","","","","","su2017,su2016,fa2017,sp2017","at once",4260.00
"","","","","","","su2017,su2016,ho2016","at once",2473.78
"","","","","","","su2017,su2016,ho2016,sp2017","",0.00
"","","","","","","su2017,su2016,ho2016,sp2017","at once",13368.49
"","","","","","","su2017,su2016,sp2017","at once",6608.17
"","","","","","","su2017,su2016,sp2017,fa2016","at once",1845.12
"","","","","","","su2017,su2016,sp2017,ho2016,sp2016,fa2016","at once",40441.31
"","","","","","","su2018","",3707.58
"","","","","","","su2018","at once",0.00
"","","","","","","su2018","futures",50535866.62
"","","","","","","su2018","futures_contract",0.00
"","","","","","","su2018","select",0.00
"","","","","","","su2018","shared_futures",0.00
"","","","","","","undefined","",0.00
"","","","","","","undefined","futures",0.00
"#/campaigns?id=10ec193a-ef8a-43b9-9286-a0d163903a78","","","","","","","",0.00
"#/campaigns?id=10ec193a-ef8a-43b9-9286-a0d163903a78","","","","","","fa2017","",0.00
"#/campaigns?id=10ec193a-ef8a-43b9-9286-a0d163903a78","","","","","","fa2017","at once",147.93
"#/campaigns?id=1f085435-689f-469c-ae72-29ea44f61e01","","","","","","","",0.00
"#/campaigns?id=1f085435-689f-469c-ae72-29ea44f61e01","","","","","","","at once",0.00
"#/campaigns?id=1f085435-689f-469c-ae72-29ea44f61e01","","","","","","fa2017","at once",840.00
"#/campaigns?id=532d99a1-2c46-4c8a-bacb-cf1087264c53","","","","","","","",0.00
"#/campaigns?id=5994d6c4-3ca1-4c42-aa28-cdda0df4d31f","","","","","","","at once",0.00
"#/campaigns?id=5994d6c4-3ca1-4c42-aa28-cdda0df4d31f","","","","","","fa2017","at once",630.00
"#/campaigns?id=7733ece9-da81-4651-844e-6acd9745ad26","","","","","","","",0.00
"#/campaigns?id=a26efd5c-3991-4f0b-9fdf-0f9315fedfc2","","","","","","","",0.00
"#/campaigns?id=f058d73e-fbdb-44ac-919e-6e5be53526b7","","","","","","","",0.00
"#/home","","","","","","","",0.00
"#/home","","","","","","fa2017","",0.00
"#/home","","","","","","fa2017","at once",264.92
"#/home","","","","","","sp2018","",0.00
"#/login?id=0249029f-8973-43a7-ab1a-3fa2151ada5c","","","","","","","",0.00
"#/login?id=032719a4-3f7b-4e35-a415-f00a09d6e355","","","","","","","",0.00
"#/login?id=032719a4-3f7b-4e35-a415-f00a09d6e355","","","","","","fa2017","",0.00
"#/login?id=0ec3614b-b457-408f-9bd2-f157d544ac03","","","","","","","",0.00
"#/login?id=10ec193a-ef8a-43b9-9286-a0d163903a78","","","","","","","",0.00
"#/login?id=15f72f23-c785-4a88-9cc8-ca7f31386103","","","","","","","",0.00
"#/login?id=197eba71-1547-45e7-a737-5befdac5e893","","","","","","","",0.00
"#/login?id=19aad68c-d0be-4376-a810-91f9a9414aba","","","","","","","",0.00
